Which country won the first-ever FIFA World Cup in 1930?,Uruguay
Who is the all-time top scorer in the history of the FIFA World Cup?,Miroslav Klose
Which player has won the most Ballon d'Or awards?,Lionel Messi
What is the nickname of the Italian football club Juventus?,The Old Lady
Which national team has won the most UEFA European Championship titles?,Germany or Spain
Which is the longest river in the world?,Nile River
What is the capital city of Australia?,Canberra
Which country is known as the Land of the Rising Sun?,Japan
Which continent is the Sahara Desert located in?,Africa
What is the tallest mountain in the world?,Mount Everest
What is the largest type of big cat in the world?,Tiger
Which bird is known for its long migration from the Arctic to Antarctica?,Arctic Tern
What is the largest living land animal?,African Elephant
Which flower is associated with the Netherlands?,Tulip
What is the process by which plants make their food called?,Photosynthesis
In which year did the Titanic sink?,1912
Who was the first President of the United States?,George Washington
Which ancient civilization built the pyramids at Giza?,Ancient Egyptians
Which famous battle took place in 1066 and resulted in the Norman conquest of England?,Battle of Hastings
Who was the leader of the Soviet Union during World War II?,Joseph Stalin
Which Formula 1 driver holds the record for the most World Championships?,Lewis Hamilton
What is the most famous endurance race held annually in France?,24 Hours of Le Mans
Which car company won the most Formula 1 Constructors' Championships?,Ferrari
Who is known as "The Flying Finn" in motorsport?,Mika HÃ¤kkinen
Which circuit hosts the Monaco Grand Prix?,Circuit de Monaco